id,name,lon,lat,temp,temp_min,temp_max,wind_speed,wind_deg,weather_main,weather_description,wind_chill
5195561,Johnstown,-78.921967,40.32674,-13.99,-13.994,-13.994,1.96,129.001,Clouds,broken clouds,-14.55751097
5110629,Buffalo,-78.878372,42.886452,-15.4,-17,-14,3.6,90,Clouds,broken clouds,-16.47344633
6087892,Niagara Falls,-79.066269,43.100121,-15.84,-15.844,-15.844,3.76,107.001,Clear,Sky is Clear,-16.97128459
5112375,Cheektowaga,-78.754753,42.903389,-18.92,-18.919,-18.919,1.41,93.5012,Clear,Sky is Clear,-19.37082174
6094578,Oshawa,-78.849571,43.90012,-12.31,-14,-10.8,2.1,90,Snow,light snow,-12.89644629
5989818,Kawartha Lakes,-78.832878,44.58342,-22.63,-24,-21,2.51,147.001,Snow,light snow,-23.48954262
5178195,Altoona,-78.394737,40.518681,-10,-11,-9,4.1,130,Clear,Sky is Clear,-11.08697768
5213681,State College,-77.860001,40.7934,-9.98,-11,-9,1.06,113.001,Clear,Sky is Clear,-10.26089369
5183234,Carlisle,-77.188873,40.201481,-10.28,-13,-9,3.1,140,Clear,Sky is Clear,-11.10717575
5192726,Harrisburg,-76.884422,40.273701,-10.86,-13,-9,3.1,140,Clear,Sky is Clear,-11.69818451
5197517,Lebanon,-76.411346,40.340931,-11,-13,-9,0.5,20,Clear,Sky is Clear,-11.13561965
5219585,Williamsport,-77.001083,41.241192,-18.57,-18.569,-18.569,1.01,100.001,Clear,Sky is Clear,-18.89076465
5116497,Elmira,-76.807732,42.089802,-18.99,-21.9,-17,1.06,102.501,Clear,Sky is Clear,-19.32936995
5193011,Hazleton,-75.974648,40.95842,-20.34,-20.344,-20.344,1.01,47.5012,Clear,Sky is Clear,-20.67171035
5178800,Back Mountain,-75.996307,41.335911,-17.73,-19,-16,2.6,100,Clear,Sky is Clear,-18.54235861
5125011,Lockport,-78.690308,43.170609,-18.29,-18.294,-18.294,2.71,97.0012,Clear,Sky is Clear,-19.14601957
5108093,Batavia,-78.187523,42.998119,-18.29,-18.294,-18.294,2.71,97.0012,Clear,Sky is Clear,-19.14601957
5134086,Rochester,-77.615562,43.154781,-16.34,-16.344,-16.344,2.66,131.501,Clear,Sky is Clear,-17.14846697
5122331,Irondequoit,-77.57972,43.213402,-16.34,-16.344,-16.344,2.66,131.501,Clear,Sky is Clear,-17.14846697
5924579,Cobourg,-78.165154,43.95977,-11.79,-11.794,-11.794,2.51,156.001,Clear,Sky is Clear,-12.48295149
6101645,Peterborough,-78.316231,44.300121,-22.57,-22.569,-22.569,2.51,147.001,Clear,Sky is Clear,-23.42862053
6115355,Quinte West,-77.566177,44.183418,-24.17,-24.169,-24.169,1.26,162.001,Clear,Sky is Clear,-24.61336419
5897885,Belleville,-77.370529,44.178761,-21.12,-22,-20,2.6,40,Clouds,few clouds,-21.98632482
5122432,Ithaca,-76.496613,42.440632,-18.96,-21.9,-17,3.1,80,Clear,Sky is Clear,-19.9519276
5113790,Cortland,-76.180481,42.601181,-20.39,-21.9,-18,3.1,80,Clear,Sky is Clear,-21.40906989
5107505,Auburn,-76.566048,42.931728,-20.99,-21.9,-20,2.1,110,Clear,Sky is Clear,-21.68805238
5130081,Oswego,-76.510498,43.455349,-16.17,-16.169,-16.169,2.11,136.501,Clear,Sky is Clear,-16.80910651
5140405,Syracuse,-76.147423,43.048119,-21.26,-23,-20,2.6,100,Clear,Sky is Clear,-22.12855352
6113355,Prince Edward,-77.249458,44.000118,-24.17,-24.169,-24.169,1.26,162.001,Clear,Sky is Clear,-24.61336419
5965812,Greater Napanee,-76.94944,44.250118,-23.69,-23.694,-23.694,1.06,167.001,Clear,Sky is Clear,-24.05987365
5992500,Kingston,-76.48098,44.229759,-25.32,-28,-22,1.5,30,Clear,Sky is Clear,-25.85837632
5207728,Reading,-75.926872,40.335651,-15.84,-15.844,-15.844,1.06,80.5012,Clouds,few clouds,-16.15892597
5207069,Pottstown,-75.649628,40.245369,-15.84,-15.844,-15.844,1.06,80.5012,Clouds,few clouds,-16.15892597
5197159,Lansdale,-75.283791,40.241501,-11.16,-13,-9,1.06,337.501,Clear,Sky is Clear,-11.44855207
5178127,Allentown,-75.490181,40.608429,-13.01,-19,-11,1.01,47.5012,Clear,Sky is Clear,-13.29638155
5219619,Willow Grove,-75.11573,40.144001,-11.16,-14,-8,1.06,337.501,Clear,Sky is Clear,-11.44855207
5188140,Easton,-75.220734,40.688431,-20.34,-20.344,-20.344,1.01,47.5012,Clear,Sky is Clear,-20.67171035
5105496,Trenton,-74.742943,40.217049,-11.75,-14,-9,1.5,230,Clear,Sky is Clear,-12.16374707
5219488,Wilkes-Barre,-75.88131,41.245911,-20.39,-20.394,-20.394,0.86,47.5012,Clear,Sky is Clear,-20.67270971
5211303,Scranton,-75.662407,41.40897,-17.09,-19,-15.4,2.6,100,Clear,Sky is Clear,-17.8921703
5109177,Binghamton,-75.917969,42.09869,-20.08,-21.9,-18,2.6,90,Clear,Sky is Clear,-20.92976882
5099292,Hopatcong Hills,-74.670723,40.943989,-16.92,-16.919,-16.919,1.31,318.001,Clear,Sky is Clear,-17.32280688
5097315,Dover,-74.562103,40.883991,-16.92,-16.919,-16.919,1.31,318.001,Clear,Sky is Clear,-17.32280688
5101717,New Brunswick,-74.45182,40.486221,-14.77,-14.769,-14.769,1.41,297.001,Clouds,few clouds,-15.18499428
5097529,Edison,-74.412102,40.518719,-11.63,-14,-9,2.1,230,Clear,Sky is Clear,-12.20770295
5104473,Scotch Plains,-74.38987,40.65538,-16.92,-16.919,-16.919,1.31,318.001,Clear,Sky is Clear,-17.32280688
5097598,Elizabeth,-74.210701,40.66399,-16.92,-16.919,-16.919,1.31,318.001,Clear,Sky is Clear,-17.32280688
5100619,Long Branch,-73.992363,40.304279,-5.77,-5.769,-5.769,3.41,313.501,Clear,Sky is Clear,-6.585730431
5101798,Newark,-74.172371,40.735661,-16.92,-16.919,-16.919,1.31,318.001,Clear,Sky is Clear,-17.32280688
5128581,New York,-74.005966,40.714272,-16.92,-16.919,-16.919,1.31,318.001,Clear,Sky is Clear,-17.32280688
5113481,Coney Island,-73.994034,40.577881,-11.11,-14,-9,2.1,230,Snow,light snow,-11.68101687
5110302,Brooklyn,-73.949577,40.650101,-11.12,-14,-9,2.1,230,Snow,light snow,-11.69114545
5120478,Hempstead,-73.618736,40.706211,-15.74,-15.744,-15.744,1.76,322.501,Clear,Sky is Clear,-16.26845986
5124276,Levittown,-73.51429,40.725929,-15.74,-15.744,-15.744,1.76,322.501,Clear,Sky is Clear,-16.26845986
5143630,West Babylon,-73.354286,40.718159,-11.12,-17,-9,5.1,140,Snow,light snow,-12.50706753
5110077,Brentwood,-73.246231,40.781212,-12.12,-17,-9,1.5,260,Snow,light snow,-12.53714521
5102427,Parsippany,-74.425987,40.85788,-12.24,-16,-9,1.31,318.001,Clear,Sky is Clear,-12.60526932
5106279,West Milford,-74.367371,41.13121,-17.39,-17.394,-17.394,0.91,287.001,Clear,Sky is Clear,-17.67243113
5106160,Wayne,-74.276543,40.925381,-12.52,-16,-9,1.31,318.001,Clear,Sky is Clear,-12.88751516
5126842,Middletown,-74.422928,41.44593,-17.39,-17.394,-17.394,0.91,287.001,Clear,Sky is Clear,-17.67243113
5102466,Paterson,-74.171806,40.916771,-12.28,-16,-9,1.31,318.001,Clear,Sky is Clear,-12.64559015
5098343,Garfield,-74.113197,40.881489,-11.72,-16,-9,2.1,340,Snow,light snow,-12.29886016
5145215,Yonkers,-73.89875,40.93121,-15.74,-15.744,-15.744,1.76,322.501,Clear,Sky is Clear,-16.26845986
5123533,Kiryas Joel,-74.167923,41.342041,-13.54,-18,-9,2.6,250,Clear,Sky is Clear,-14.28565702
5128481,New City,-73.989311,41.147598,-12.45,-17,-9,2.1,280,Snow,light snow,-13.03824638
5130831,Peekskill,-73.920418,41.290089,-18.17,-18.169,-18.169,0.81,21.0012,Clear,Sky is Clear,-18.42526311
5130045,Ossining,-73.861519,41.162868,-12.42,-17,-9,2.1,280,Snow,light snow,-13.00786065
5128654,Newburgh,-74.010422,41.503429,-15,-18,-12,0.81,21.0012,Clear,Sky is Clear,-15.23954164
5132143,Poughkeepsie,-73.920967,41.700371,-18.17,-18.169,-18.169,0.81,21.0012,Clear,Sky is Clear,-18.42526311
5123477,Kingston,-73.99736,41.92704,-18.17,-18.169,-18.169,0.81,21.0012,Clear,Sky is Clear,-18.42526311
5144336,White Plains,-73.762909,41.033989,-12.32,-17,-9,2.1,280,Snow,light snow,-12.90657486
4843564,Stamford,-73.538727,41.053429,-18.17,-18.169,-18.169,0.81,21.0012,Clear,Sky is Clear,-18.42526311
5121636,Huntington,-73.425682,40.868149,-14.84,-14.844,-14.844,2.21,314.001,Clear,Sky is Clear,-15.49139922
4839822,Norwalk,-73.407898,41.117599,-18.17,-18.169,-18.169,1.26,355.501,Clear,Sky is Clear,-18.56707595
5113412,Commack,-73.292892,40.84288,-14.84,-14.844,-14.844,2.21,314.001,Clear,Sky is Clear,-15.49139922
4832353,Danbury,-73.45401,41.394821,-14.26,-18.7,-9,2.1,240,Snow,light snow,-14.87151908
5282804,Bridgeport,-73.204826,41.167042,-15.35,-22,-9,2.1,360,Snow,light snow,-15.97553413
4843362,Southbury,-73.213173,41.48148,-18.17,-18.169,-18.169,1.26,355.501,Clear,Sky is Clear,-18.56707595
5128638,New York,-75.499901,43.000351,-21.63,-23,-21,2.1,80,Clear,Sky is Clear,-22.3362814
5134295,Rome,-75.455727,43.212849,-22.52,-22.519,-22.519,1.01,141.501,Clear,Sky is Clear,-22.86519149
5142056,Utica,-75.232658,43.100899,-23,-23,-23,2.1,80,Clear,Sky is Clear,-23.72389664
5143396,Watertown,-75.910759,43.974781,-24.92,-24.919,-24.919,1.11,185.501,Clear,Sky is Clear,-25.31567996
5909294,Brockville,-75.68264,44.583408,-23.92,-23.919,-23.919,1.61,189.501,Clear,Sky is Clear,-24.48405649
5136454,Schenectady,-73.939568,42.81424,-20.27,-20.269,-20.269,1.21,296.501,Clear,Sky is Clear,-20.66687696
5118743,Gloversville,-74.34375,43.052849,-17.62,-19,-17,1.31,266.501,Clear,Sky is Clear,-18.02842147
5107152,Amsterdam,-74.188187,42.93869,-20.74,-20.744,-20.744,1.06,252.501,Clear,Sky is Clear,-21.09072771
5106834,Albany,-73.756233,42.65258,-18.99,-21,-17,1.21,296.501,Clear,Sky is Clear,-19.377394
4947459,Pittsfield,-73.245377,42.450081,-19.14,-21,-17,1.5,280,Clear,Sky is Clear,-19.62161812
5136334,Saratoga Springs,-73.784569,43.08313,-17.6,-19,-17,1.11,241.501,Clear,Sky is Clear,-17.94593112
5234372,Burlington,-73.212067,44.47588,-23.19,-23.194,-23.194,1.16,357.001,Clear,Sky is Clear,-23.59121618
5131692,Plattsburgh,-73.452911,44.69949,-23.19,-23.194,-23.194,1.16,357.001,Clear,Sky is Clear,-23.59121618
5136421,Sayville,-73.082062,40.735931,-14.84,-14.844,-14.844,2.21,314.001,Clear,Sky is Clear,-15.49139922
5113694,Coram,-73.001488,40.86871,-10.34,-10.344,-10.344,3.91,320.501,Clear,Sky is Clear,-11.38474517
5138022,Shirley,-72.867599,40.801491,-14.86,-22,-9,3.91,320.501,Snow,light snow,-16.01295434
4842898,Shelton,-73.093163,41.31649,-18.17,-18.169,-18.169,1.26,355.501,Clear,Sky is Clear,-18.56707595
4839366,New Haven,-72.928162,41.308151,-15.92,-15.919,-15.919,1.91,330.001,Clear,Sky is Clear,-16.49560406
4838116,Madison,-72.598427,41.279541,-15.92,-15.919,-15.919,1.91,330.001,Clear,Sky is Clear,-16.49560406
4845193,Waterbury,-73.051498,41.558151,-15.45,-18.7,-12,1.26,355.501,Clear,Sky is Clear,-15.82609195
4844309,Torrington,-73.121223,41.800652,-16.97,-21,-13,1.5,250,Clear,Sky is Clear,-17.43168846
5282835,Bristol,-72.949272,41.671761,-15.92,-15.919,-15.919,1.91,330.001,Clear,Sky is Clear,-16.49560406
4838524,Meriden,-72.807037,41.538151,-15.92,-15.919,-15.919,1.91,330.001,Clear,Sky is Clear,-16.49560406
4838633,Middletown,-72.65065,41.562321,-15.92,-15.919,-15.919,1.91,330.001,Clear,Sky is Clear,-16.49560406
4835797,Hartford,-72.685089,41.76371,-15.92,-15.919,-15.919,1.91,330.001,Clear,Sky is Clear,-16.49560406
4945588,North Chicopee,-72.599533,42.18343,-19.44,-21,-17,1.5,280,Clear,Sky is Clear,-19.92437337
4951788,Springfield,-72.589813,42.101479,-20.02,-20.019,-20.019,1.41,284.001,Clear,Sky is Clear,-20.48031818
4839416,New London,-72.099518,41.355652,-14,-17,-11,3.1,310,Clear,Sky is Clear,-14.89778368
5225631,Westerly,-71.827293,41.377602,-14.31,-17,-11,5.1,330,Clear,Sky is Clear,-15.79667908
4843786,Storrs,-72.249519,41.80843,-16.25,-20,-13,3.1,280,Clear,Sky is Clear,-17.1904901
4839843,Norwich,-72.075912,41.524261,-14.18,-17,-11,2.91,317.001,Clear,Sky is Clear,-15.02596535
4838204,Mansfield City,-72.233688,41.76593,-15.92,-15.919,-15.919,1.91,330.001,Clear,Sky is Clear,-16.49560406
4946620,Palmer,-72.32869,42.158428,-18.17,-21,-13,1.5,280,Clear,Sky is Clear,-18.64270947
4840755,Plainfield,-71.91507,41.676491,-14.5,-18,-11,3.1,280,Clear,Sky is Clear,-15.407274
4951594,Southbridge,-72.033409,42.0751,-16.86,-20,-13,3.1,280,Clear,Sky is Clear,-17.81206828
4837278,Killingly Center,-71.86924,41.838711,-14.49,-14.494,-14.494,2.91,317.001,Clear,Sky is Clear,-15.34148871
5223672,North Kingstown,-71.466171,41.550098,-13.9,-17,-11,3.1,280,Clear,Sky is Clear,-14.79588562
5225507,Warwick,-71.416168,41.7001,-10.54,-10.544,-10.544,5.16,316.501,Clear,Sky is Clear,-11.9250617
5224151,Providence,-71.412827,41.82399,-10.54,-10.544,-10.544,5.16,316.501,Clear,Sky is Clear,-11.9250617
5225809,Woonsocket,-71.514778,42.00288,-18.57,-18.569,-18.569,1.66,286.001,Clear,Sky is Clear,-19.09719734
4943958,Milford,-71.516167,42.13982,-18.57,-18.569,-18.569,1.66,286.001,Clear,Sky is Clear,-19.09719734
4936159,Fall River,-71.155052,41.701488,-14.36,-17,-12,3.1,280,Clear,Sky is Clear,-15.26461671
4951248,Somerset,-71.128662,41.76955,-14.63,-17,-13,3.1,280,Clear,Sky is Clear,-15.53974148
4929399,Attleboro,-71.285606,41.944538,-15.27,-18,-13,3.1,280,Clear,Sky is Clear,-16.19188908
4952629,Taunton,-71.089767,41.900101,-10.54,-10.544,-10.544,5.16,316.501,Clear,Sky is Clear,-11.9250617
4931429,Brockton,-71.018379,42.083431,-18.57,-18.569,-18.569,1.66,286.001,Clear,Sky is Clear,-19.09719734
4945121,New Bedford,-70.934196,41.636219,-14.16,-17,-12,2.6,300,Clear,Sky is Clear,-14.91552694
4938836,Hanover,-70.811989,42.113159,-14.5,-17,-11,6.2,300,Clear,Sky is Clear,-16.31454799
4945819,Northampton,-72.641197,42.325089,-20.39,-20.394,-20.394,1.36,275.501,Clear,Sky is Clear,-20.83707582
4929023,Amherst Center,-72.519249,42.37537,-19.78,-21,-17,1.5,280,Clear,Sky is Clear,-20.26749599
4938378,Greenfield,-72.599533,42.587589,-19.77,-21,-17,1.36,275.501,Clear,Sky is Clear,-20.21191309
4956184,Worcester,-71.802292,42.262589,-18.07,-18.069,-18.069,1.76,286.001,Clear,Sky is Clear,-18.62356817
4941873,Leominster,-71.759789,42.525089,-17.38,-21,-14,1.76,282.001,Clear,Sky is Clear,-17.92613266
4937557,Gardner,-71.998131,42.575089,-19.59,-19.594,-19.594,1.76,282.001,Clear,Sky is Clear,-20.15994784
5088262,Keene,-72.278137,42.933689,-20.38,-21,-19,1.91,298.001,Clear,Sky is Clear,-21.0077616
5240509,Rutland,-72.97261,43.610619,-19.99,-21,-19,1.5,140,Clear,Sky is Clear,-20.47942467
4943170,Marlborough,-71.545464,42.349091,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4929283,Ashland,-71.463402,42.261211,-18.57,-18.569,-18.569,1.66,286.001,Clear,Sky is Clear,-19.09719734
4937230,Framingham,-71.416168,42.279259,-18.57,-18.569,-18.569,1.66,286.001,Clear,Sky is Clear,-19.09719734
5090046,Nashua,-71.467567,42.765369,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4945283,Newton,-71.209221,42.33704,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4940764,Jamaica Plain,-71.120331,42.309818,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4930956,Boston,-71.059769,42.358429,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4951305,South Boston,-71.049492,42.333431,-15.91,-19,-13,1.5,300,Clear,Sky is Clear,-16.36195323
4931972,Cambridge,-71.105614,42.375099,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4942618,Lowell,-71.31617,42.633419,-16.81,-21,-14,2.6,240,Clear,Sky is Clear,-17.60771292
4952762,Tewksbury,-71.234222,42.610649,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4941720,Lawrence,-71.163109,42.707039,-16.56,-21,-14,2.6,290,Clear,Sky is Clear,-17.35373311
5089178,Manchester,-71.454788,42.99564,-17.69,-17.694,-17.694,2.51,297.001,Clear,Sky is Clear,-18.47362378
5084868,Concord,-71.537567,43.208141,-18.01,-21,-15,1.5,350,Clear,Sky is Clear,-18.48124
5085688,East Concord,-71.538132,43.24202,-17.69,-17.694,-17.694,2.51,297.001,Clear,Sky is Clear,-18.47362378
5088438,Laconia,-71.470352,43.527851,-16.98,-18,-16,3.6,250,Clear,Sky is Clear,-18.08827272
5085382,Derry Village,-71.312012,42.89175,-20.39,-20.394,-20.394,1.51,280.001,Clear,Sky is Clear,-20.88638566
4948247,Quincy,-71.002274,42.25288,-14.34,-14.344,-14.344,4.11,300.001,Clear,Sky is Clear,-15.53884338
4946863,Peabody,-70.928658,42.52787,-15.6,-19,-13,4.1,290,Clear,Sky is Clear,-16.82755678
4929004,Amesbury,-70.930054,42.858421,-12.82,-12.819,-12.819,5.56,304.501,Clear,Sky is Clear,-14.39004812
4937829,Gloucester,-70.661987,42.615929,-15.53,-17.7,-13,4.1,290,Clear,Sky is Clear,-16.75579954
5085520,Dover,-70.873672,43.197861,-15.17,-15.169,-15.169,3.71,292.001,Clear,Sky is Clear,-16.27102151
5091383,Portsmouth,-70.76255,43.071758,-15.17,-15.169,-15.169,3.71,292.001,Clear,Sky is Clear,-16.27102151
5091872,Rochester,-70.975616,43.304531,-15.17,-15.169,-15.169,3.71,292.001,Clear,Sky is Clear,-16.27102151
4958141,Biddeford,-70.453377,43.49258,-9.39,-9.394,-9.394,7.66,305.001,Clear,Sky is Clear,-11.39218313
4929771,Barnstable,-70.299469,41.700111,-8.09,-8.094,-8.094,8.11,314.501,Clear,Sky is Clear,-10.1324969
4956335,Yarmouth,-70.22863,41.705669,-13.1,-15,-11,3.1,280,Clear,Sky is Clear,-13.98070112
4975802,Portland,-70.255333,43.661469,-17.04,-17.044,-17.044,2.66,312.001,Clear,Sky is Clear,-17.8598676
4959473,Brunswick,-69.965332,43.91452,-18.02,-19,-17,2.66,312.001,Clear,Sky is Clear,-18.85582847
4969398,Lewiston,-70.214783,44.100349,-19.05,-22,-17,2.91,306.501,Clear,Sky is Clear,-19.98273559
4957003,Augusta,-69.779488,44.310619,-18.2,-19,-17,2.6,270,Clear,Sky is Clear,-19.01984065
4982236,Waterville,-69.631706,44.55201,-18.6,-19,-18,4.1,280,Clear,Sky is Clear,-19.90286701
4957280,Bangor,-68.777809,44.801182,-20.13,-23,-18,2.1,0,Clear,Sky is Clear,-20.81699463
5978765,Huntsville,-79.216316,45.333408,-24.94,-24.944,-24.944,1.91,163.501,Clear,Sky is Clear,-25.62108859
6128577,Rouyn-Noranda,-79.028778,48.239849,-21.52,-21.519,-21.519,3.16,205.001,Clear,Sky is Clear,-22.58065706
6100832,Pembroke,-77.116158,45.816811,-25,-25,-25,2.11,219.501,Clear,Sky is Clear,-25.75318192
6173017,Val-dOr,-77.782799,48.100182,-23.29,-23.294,-23.294,3.11,212.001,Clear,Sky is Clear,-24.3675786
6094817,Ottawa,-75.69812,45.411171,-24.03,-26,-22,3.1,190,Clear,Sky is Clear,-25.11815938
5923101,Clarence-Rockland,-75.291008,45.550098,-23.91,-26,-22,1.61,209.501,Clear,Sky is Clear,-24.47395792
5928065,Cornwall,-74.728149,45.018089,-24.19,-24.194,-24.194,2.11,208.001,Clear,Sky is Clear,-24.93271747
6139289,Salaberry-de-Valleyfield,-74.13253,45.25008,-21.36,-24,-20,4.1,240,Clear,Sky is Clear,-22.73215243
6173570,Vaudreuil-Dorion,-74.032509,45.400082,-24.04,-24.044,-24.044,2.36,246.001,Clear,Sky is Clear,-24.8685497
6075061,Mirabel,-74.082512,45.650082,-24.04,-24.044,-24.044,2.36,246.001,Clear,Sky is Clear,-24.8685497
6138175,Saint-Eustache,-73.90554,45.564999,-20.67,-22,-20,2.6,230,Clouds,few clouds,-21.52916117
6138501,Saint-Jerome,-74.003647,45.780361,-22.89,-22.894,-22.894,3.86,247.001,Clear,Sky is Clear,-24.21799124
5920433,Chateauguay,-73.749191,45.383381,-20.69,-22,-20,4.1,240,Clear,Sky is Clear,-22.04533314
5940956,Dollard-Des Ormeaux,-73.824188,45.494518,-22.89,-22.894,-22.894,3.86,247.001,Clear,Sky is Clear,-24.21799124
6077243,Montreal,-73.587807,45.508839,-20.69,-22,-20,4.1,240,Clear,Sky is Clear,-22.04533314
6163012,Terrebonne,-73.647324,45.700039,-20.68,-22,-20,4.1,240,Clear,Sky is Clear,-22.03508211
6138495,Saint-Jean-sur-Richelieu,-73.265862,45.31678,-23.82,-23.819,-23.819,3.86,241.501,Clear,Sky is Clear,-25.16997081
6137941,Sainte-Julie,-73.332458,45.583382,-23.82,-23.819,-23.819,3.86,241.501,Clear,Sky is Clear,-25.16997081
5919566,Chambly,-73.282463,45.450081,-23.82,-23.819,-23.819,3.86,241.501,Clear,Sky is Clear,-25.16997081
6119518,Repentigny,-73.450081,45.742222,-20.68,-22,-20,5.7,260,Clear,Sky is Clear,-22.56389464
6050263,LAssomption,-73.429398,45.823181,-23.82,-23.819,-23.819,3.86,241.501,Clear,Sky is Clear,-25.16997081
5987650,Joliette,-73.44915,46.016769,-20.67,-22,-20,5.7,260,Clear,Sky is Clear,-22.55354564
6138374,Saint-Hyacinthe,-72.949142,45.616779,-23.44,-23.444,-23.444,3.26,240.501,Clear,Sky is Clear,-24.57254588
5964215,Granby,-72.73243,45.400082,-23.44,-23.444,-23.444,3.26,240.501,Clear,Sky is Clear,-24.57254588
6151352,Sorel-Tracy,-73.115852,46.03336,-20.38,-20.7,-20,5.7,260,Clear,Sky is Clear,-22.25342468
5942845,Drummondville,-72.482407,45.883362,-23.44,-23.444,-23.444,3.26,240.501,Clear,Sky is Clear,-24.57254588
6169141,Trois-Rivieres,-72.549118,46.35006,-23.52,-23.519,-23.519,4.66,236.501,Clear,Sky is Clear,-25.14119785
6064180,Magog,-72.149094,45.266781,-24.51,-25,-24,2.6,220,Clear,Sky is Clear,-25.43029103
6146143,Sherbrooke,-71.899078,45.400082,-23.14,-23.144,-23.144,2.51,251.501,Clear,Sky is Clear,-24.00738039
